City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,kumasi,6.6885,-1.6244,23.27,85,87,0.89,GH,1731274947
272,santo antonio do ica,-3.1022,-67.9397,27.25,81,100,1.02,BR,1731274948
273,gazojak,41.1875,61.4036,6.86,59,0,1.7,TM,1731274949
274,grande prairie,55.1667,-118.8027,2.1,64,75,4.12,CA,1731274950
275,calvinia,-31.4707,19.776,15.2,67,80,1.85,ZA,1731274951
276,tynda,55.1667,124.7167,-21.78,97,42,0.74,RU,1731274953
277,songjianghe,42.1859,127.479,-0.53,81,0,1.51,CN,1731274954
278,florence,43.7667,11.25,11.72,56,0,1.54,IT,1731274865
279,amga,60.8953,131.9608,-15.39,98,99,1.0,RU,1731274956
280,sinabang,2.4803,96.3801,26.12,86,100,0.58,ID,1731274958
281,jacksonville,30.3322,-81.6556,25.57,83,100,4.63,US,1731274779
282,gaigeturi,33.4644,126.3183,17.03,72,40,2.57,KR,1731274960
283,labuan bajo,-8.4964,119.8877,26.31,84,50,1.67,ID,1731274961
284,fortaleza,-3.7227,-38.5247,27.34,74,20,6.17,BR,1731274877
285,magadan,59.5667,150.8,-9.89,70,100,8.64,RU,1731274965
286,acarau,-2.8856,-40.12,25.66,84,87,8.7,BR,1731274966
287,esperantina,-3.9017,-42.2336,28.4,54,85,4.75,BR,1731274968
288,dudinka,69.4058,86.1778,-23.91,97,77,3.56,RU,1731274969
289,jabat,7.75,168.9751,28.72,74,10,8.09,MH,1731274970
290,kenai,60.5544,-151.2583,3.41,69,0,2.57,US,1731274971
291,princeville,45.7668,-61.2985,4.36,62,0,3.6,CA,1731274972
292,kyren,51.6828,102.1408,-6.15,56,56,0.69,RU,1731274974
293,macclenny,30.2822,-82.1221,23.88,95,99,0.45,US,1731274795
294,ganghwa-gun,37.7472,126.4856,9.91,71,0,2.21,KR,1731274976
295,korla,41.7597,86.1469,7.02,34,0,2.59,CN,1731274977
296,seme,15.1942,-12.9448,28.84,15,0,3.55,SN,1731274979
297,haapsalu,58.9431,23.5414,4.99,93,100,4.32,EE,1731274980
298,yuzhno-kurilsk,44.0306,145.8556,11.09,79,83,7.13,RU,1731274981
299,mahebourg,-20.4081,57.7,25.16,88,40,2.57,MU,1731274982
300,penzance,50.1186,-5.5371,12.64,88,96,1.31,GB,1731274983
301,kerikeri,-35.2268,173.9474,19.39,90,100,1.79,NZ,1731274985
